id,nome_funcionario,sexo,departamento,data_admissao,salario,cargo,localizacao,pais
1,Kelley,Feminino,Computadores,2009-10-02,67470,Structural Engineer,Sudeste,Brasil
2,Armstrong,Masculino,Esporte,2008-03-31,71869,Financial Advisor,Sudeste,Brasil
3,Carr,Masculino,Automotivo,2009-07-12,101768,Recruiting Manager,Sul,Brasil
4,Murray,Feminino,Joalheria,2014-12-25,96897,Desktop Support Technician,Sul,Brasil
5,Ellis,Feminino,AlimentÃ­cios,2002-09-19,63702,Software Engineer III,Nova Scotia,Canada
6,Phillips,Masculino,Ferramentas,2013-08-21,118497,Executive Secretary,Nordeste,Brasil
7,Williamson,Masculino,Computadores,2006-05-14,65889,Dental Hygienist,Quebec,Canada
8,Harris,Feminino,Brinquedos,2003-08-12,84427,Safety Technician I,Norte,Brasil
9,James,Masculino,Joalheria,2005-09-07,108657,Sales Associate,Sudeste,Brasil
10,Sanchez,Masculino,Filmes,2013-03-13,108093,Sales Representative,Nordeste,Brasil
11,Jacobs,Feminino,Joalheria,2003-11-27,121966,Community Outreach Specialist,Nova Scotia,Canada
12,Black,Masculino,Roupas,2003-02-04,44179,Data Coordiator,Nova Scotia,Canada
13,Schmidt,Masculino,BebÃªs,2002-10-13,85227,Compensation Analyst,Sul,Brasil
14,Webb,Feminino,Computadores,2006-10-22,59763,Software Test Engineer III,Norte,Brasil
15,Jacobs,Feminino,Games,2007-03-04,141139,Community Outreach Specialist,Nova Scotia,Canada
16,Medina,Feminino,BebÃªs,2008-03-14,106659,Web Developer III,Nordeste,Brasil
17,Morgan,Feminino,CrianÃ§as,2011-05-04,148952,Programmer IV,Quebec,Canada
18,Nguyen,Masculino,Lar,2014-11-03,93804,Geologist II,British Columbia,Canada
19,Day,Masculino,Eletronicos,2004-09-22,109890,VP Sales,Sul,Brasil
20,Carr,Feminino,Filmes,2007-11-22,115274,VP Quality Control,British Columbia,Canada
21,Bryant,Feminino,Industrial,2005-08-12,78052,Software Consultant,Sul,Brasil
22,Alexander,Masculino,Automotivo,2011-12-26,144724,Marketing Assistant,Sudeste,Brasil
23,Chapman,Feminino,Joalheria,2001-04-12,126103,Senior Developer,Norte,Brasil
24,Kelly,Masculino,Jardim,2006-06-29,144965,Nurse Practicioner,Sudeste,Brasil
25,Stephens,Masculino,Brinquedos,2004-06-04,70613,Business Systems Development Analyst,Nordeste,Brasil
26,Porter,Feminino,Lar,2011-05-30,90746,Dental Hygienist,Sudeste,Brasil
27,Owens,Feminino,Lar,2005-05-26,78698,Executive Secretary,Sudeste,Brasil
28,Scott,Feminino,Books,2008-03-02,63336,Sales Representative,Norte,Brasil
29,Price,Feminino,Roupas,2013-07-05,95436,Quality Engineer,Sul,Brasil
